frekvens (Hz),demping CH1(dB),Phase (deg),Demping CH2 (dB),Phase (deg)
0,-45.10069620561523,180,-47.52423564283993,180
0.244140625,-45.31546342077661,177.8030524690125,-47.65808448590661,175.9374412919128
0.48828125,-48.66102446171016,175.5061883535814,-50.90275046790155,171.1950304677347
0.732421875,-58.59680959984965,171.7422501902554,-60.29310912303213,160.2489806799974
0.9765625,-75.28251709766172,8.332631418627724,-72.36465724645966,154.0719792087454
1.220703125,-75.63361687211406,98.38899772367601,-77.14684958910904,34.82948336122749
1.46484375,-72.5348754559906,147.5132993019841,-79.66288594621697,103.6949827671242
1.708984375,-70.56430252520619,25.19546715585257,-74.56243473484629,22.6248003839924
1.953125,-66.03162593739046,54.61750475454242,-68.04108529972821,40.5988470362541
2.197265625,-64.56650329644862,68.66702170247335,-66.65330952376377,52.31661249845718
2.44140625,-66.61421998856648,88.68002157651661,-68.67571984834132,65.72772127165402
2.685546875,-73.04619745526234,138.6145944284932,-77.07617300435335,93.43334302904903
2.9296875,-69.12118155695404,35.28954187113776,-75.88694163990836,17.48240449436201
3.173828125,-65.60967319810911,48.28187873873473,-70.88106648536001,35.59116877220727
3.41796875,-64.39980964639696,53.12932171571604,-67.28765866558597,46.1856741762757
3.662109375,-65.19830499700669,55.50400525313023,-65.62196415670967,51.64284056309181
3.90625,-68.50572475348991,57.86809519228337,-66.10333240397165,56.90843055144025
4.150390625,-70.43394350072917,53.10986017961569,-66.48416202233389,61.05962879999433
4.39453125,-71.77524451116261,44.43253220150829,-68.05175827838755,70.34174561963846
4.638671875,-72.37515911391279,30.74012487367753,-70.7239583491052,80.56829029009356
4.8828125,-68.65825975388037,28.77858857419852,-71.51901629629737,75.28325396465341
5.126953125,-68.50555284715254,41.9352845466335,-71.30384806345104,90.41225022691327
5.37109375,-73.21470064441749,96.19228536478171,-70.39238474744342,138.1172499848876
5.615234375,-66.77608347896849,161.6191908389047,-65.45649442202684,170.2399305337848
5.859375,-62.24308497531609,171.9572260390967,-62.8684807705072,175.031107748912
6.103515625,-61.69796240294492,173.9422870517983,-63.44333703135071,174.6211057820519
6.34765625,-64.13810818128759,173.9835847768223,-66.93859644368682,165.6354177058384
6.591796875,-70.62735079887287,167.9647255798464,-74.0095475738234,109.4831079500621
6.8359375,-85.62394459304204,44.20562291604232,-74.67459843627087,30.20190100508697
7.080078125,-72.84496413326126,73.74851724457341,-76.56291029506278,116.822729090853
7.32421875,-70.85736047017606,86.08878816673071,-70.47871637679501,96.60686314557508
7.568359375,-66.31752327042661,131.6585623069935,-65.1550793433579,115.9018681841882
7.8125,-62.86661348445692,143.5573400577991,-62.28170156259297,122.690973665319
8.056640625,-61.31628794066872,157.5469510463948,-61.1231928244746,135.772972845079
8.30078125,-60.53261903589903,174.4137170639484,-61.12450524665175,151.4802622679585
8.544921875,-60.51093408335474,39.66379683768843,-63.37951507633757,24.62854164920426
8.7890625,-57.12397545682944,68.98163858865756,-58.81187634480278,67.70761354745233
9.033203125,-56.173570626486,75.64815806619603,-56.76268260806211,77.52015648165585
9.27734375,-55.70410240735973,81.72136708654149,-55.33434239271311,83.63424972951583
9.521484375,-57.17381201042456,88.24470338366645,-55.91705631732363,90.30866605762571
9.765625,-61.43839910927487,89.14805879693469,-59.15593588126971,94.35299991312999
10.009765625,-62.89378035080097,70.38497284720616,-61.32244031987745,81.19298065774265
10.25390625,-61.9924467918155,61.53184982128634,-61.87075918440571,69.61199971556672
10.498046875,-62.04066406416719,54.88495634302834,-63.50477159457125,52.34121093361843
10.7421875,-62.29799834657459,60.54949792559174,-64.16908693624261,38.48226719317692
10.986328125,-60.65115012778058,133.5099377551995,-66.05039898341532,131.3872188395046
11.23046875,-52.07347873267072,167.4954923498598,-53.87247822691624,170.9881936555081
11.474609375,-48.99473557649991,174.0732766691674,-50.21737003520233,175.6359172039447
11.71875,-48.67686921444889,177.5079015914872,-49.56400503265087,176.810386770817
11.962890625,-49.12833827359971,1.204169614608502,-49.51334659147971,177.8351650607857
12.20703125,-51.46254790856538,1.650704629740159,-51.37508842796298,175.1502141540091
12.451171875,-52.94944572676105,170.540724120445,-52.22718310692767,162.4884421605488
